Country Name,Country Code,GINI
Albania,ALB,33.7
Argentina,ARG,42
Armenia,ARM,32.5
Austria,AUT,30.8
Belgium,BEL,27.6
Bangladesh,BGD,32.4
Bulgaria,BGR,40.6
Belarus,BLR,25.3
Bolivia,BOL,45.3
Brazil,BRA,53.3
Canada,CAN,32.7
Switzerland,CHE,33
China,CHN,38.5
Colombia,COL,50.6
Costa Rica,CRI,48.7
Cyprus,CYP,32.9
Czech Republic,CZE,25.4
Germany,DEU,31.9
Denmark,DNK,28.2
Dominican Republic,DOM,45.7
Ecuador,ECU,45
Spain,ESP,35.8
Estonia,EST,31.2
Finland,FIN,27.1
France,FRA,31.9
United Kingdom,GBR,34.8
Georgia,GEO,36.6
Ghana,GHA,43.5
Greece,GRC,35
Honduras,HND,49.8
Croatia,HRV,30.9
Hungary,HUN,30.3
Indonesia,IDN,38.6
Ireland,IRL,32.8
"Iran, Islamic Rep.",IRN,40
Iceland,ISL,27.2
Israel,ISR,39
Italy,ITA,35.2
Kazakhstan,KAZ,27.2
Kyrgyz Republic,KGZ,26.8
"Korea, Rep.",KOR,31.4
Liberia,LBR,35.3
St. Lucia,LCA,51.2
Sri Lanka,LKA,39.3
Lithuania,LTU,38.4
Luxembourg,LUX,31.7
Latvia,LVA,34.3
Moldova,MDA,26.3
Maldives,MDV,31.3
Mexico,MEX,46.3
North Macedonia,MKD,34.5
Malta,MLT,29.1
Montenegro,MNE,38.5
Mongolia,MNG,32.3
Malawi,MWI,44.7
Netherlands,NLD,28.2
Norway,NOR,28.5
Panama,PAN,50.4
Peru,PER,43.6
Poland,POL,31.2
Portugal,PRT,35.2
Paraguay,PRY,47.9
West Bank and Gaza,PSE,33.7
Romania,ROU,34.4
Russian Federation,RUS,36.8
Rwanda,RWA,43.7
El Salvador,SLV,40
Serbia,SRB,38.8
South Sudan,SSD,44.1
Slovak Republic,SVK,25.2
Slovenia,SVN,24.8
Sweden,SWE,29.6
Eswatini,SWZ,54.6
Thailand,THA,36.9
Turkey,TUR,41.9
Uganda,UGA,42.8
Ukraine,UKR,25
Uruguay,URY,39.7
United States,USA,41.1
Vietnam,VNM,35.3
Kosovo,XKX,26.7
