Country Name,Country Code,GINI
Angola,AGO,51.3
United Arab Emirates,ARE,26
Argentina,ARG,41.3
Armenia,ARM,34.4
Austria,AUT,30.8
Belgium,BEL,27.2
Bulgaria,BGR,41.3
Belarus,BLR,25.2
Bolivia,BOL,42.6
Brazil,BRA,53.9
Switzerland,CHE,33.1
Colombia,COL,50.4
Costa Rica,CRI,48
Cyprus,CYP,32.7
Czech Republic,CZE,25
Denmark,DNK,28.2
Dominican Republic,DOM,43.7
Ecuador,ECU,45.4
Spain,ESP,34.7
Estonia,EST,30.3
Finland,FIN,27.3
France,FRA,32.4
Georgia,GEO,36.4
Greece,GRC,32.9
Honduras,HND,48.9
Croatia,HRV,29.7
Hungary,HUN,29.6
Indonesia,IDN,37.8
"Iran, Islamic Rep.",IRN,42
Kazakhstan,KAZ,27.8
Kyrgyz Republic,KGZ,27.7
Lao PDR,LAO,38.8
Lithuania,LTU,35.7
Luxembourg,LUX,35.4
Latvia,LVA,35.1
Moldova,MDA,25.7
Mexico,MEX,45.4
North Macedonia,MKD,33
Malta,MLT,28.7
Mongolia,MNG,32.7
Nigeria,NGA,35.1
Netherlands,NLD,28.1
Norway,NOR,27.6
Pakistan,PAK,31.6
Panama,PAN,49.2
Peru,PER,42.4
Philippines,PHL,42.3
Poland,POL,30.2
Portugal,PRT,33.5
Paraguay,PRY,46
Romania,ROU,35.8
Russian Federation,RUS,37.5
Sierra Leone,SLE,35.7
El Salvador,SLV,38.6
Slovak Republic,SVK,25
Slovenia,SVN,24.6
Sweden,SWE,30
Seychelles,SYC,32.1
Thailand,THA,36.4
Turkey,TUR,41.9
Ukraine,UKR,26.1
Uruguay,URY,39.7
United States,USA,41.4
Vietnam,VNM,35.7
