,Country,Country Code,GINI,GDP,Happiness Score
126,Kosovo,XKX,73.5,3603.025501,5.589
127,Indonesia,IDN,60.3,3331.695115,5.399
128,Bolivia,BOL,53.3,3035.971655,5.89
129,Philippines,PHL,55.4,3001.043182,5.073
130,Moldova,MDA,73.0,2732.457113,5.889
131,Honduras,HND,50.8,2302.204411,4.788
132,Ukraine,UKR,74.5,2124.662319,4.681
133,Pakistan,PAK,67.4,1356.667831,5.194
134,Zambia,ZMB,42.9,1338.290927,5.129
135,Kenya,KEN,59.2,1336.883265,4.419
136,Myanmar,MMR,61.9,1144.474341,4.307
137,Benin,BEN,52.2,1076.796702,3.34
138,Tajikistan,TJK,66.0,978.4049812,4.786
139,Ethiopia,ETH,65.0,640.5419231,4.512
140,Togo,TGO,56.9,570.9099672,2.839
141,Luxembourg,LUX,65.5,107361.3069,6.86299991607666
142,Switzerland,CHE,67.3,83352.08865,7.49399995803833
143,Norway,NOR,73.0,75496.75406,7.53700017929077
144,Iceland,ISL,73.9,72010.14903,7.50400018692017
145,Ireland,IRL,68.6,70413.12183,6.97700023651123
146,United States,USA,58.8,60109.65573,6.99300003051758
147,Denmark,DNK,71.3,57610.09818,7.52199983596802
148,Sweden,SWE,71.2,53791.50873,7.28399991989136
149,Netherlands,NLD,71.5,48554.99228,7.3769998550415
150,Austria,AUT,70.3,47309.36627,7.00600004196167
151,Finland,FIN,72.6,46297.49635,7.4689998626709
152,Canada,CAN,66.7,45129.35644,7.31599998474121
153,Belgium,BEL,72.6,44089.31009,6.89099979400635
154,United Kingdom,GBR,64.9,40304.72308,6.71400022506714
155,France,FRA,68.4,38685.25849,6.44199991226196
156,Italy,ITA,64.1,32326.67421,5.96400022506714
157,Malta,MLT,70.8,28250.69777,6.52699995040894
158,Spain,ESP,65.3,28100.58624,6.40299987792969
159,Cyprus,CYP,68.6,26444.07438,5.62099981307983
160,Slovenia,SVN,75.8,23454.73952,5.75799989700317
161,Portugal,PRT,66.2,21437.3475,5.19500017166138
162,Czech Republic,CZE,75.1,20636.19995,6.60900020599365
163,Estonia,EST,69.6,20407.92738,5.61100006103516
164,Uruguay,URY,60.5,18690.89384,6.4539999961853
165,Greece,GRC,65.6,18562.22943,5.22700023651123
166,Lithuania,LTU,62.7,16843.69965,5.90199995040894
167,Latvia,LVA,64.4,15643.48563,5.84999990463257
168,Panama,PAN,50.1,15146.40237,6.4520001411438
169,Chile,CHL,55.6,14998.81706,6.65199995040894
170,Argentina,ARG,58.9,14613.04182,6.59899997711182
171,Hungary,HUN,69.4,14605.85435,5.32399988174438
172,Poland,POL,70.3,13864.68176,5.97300004959106
173,Croatia,HRV,69.6,13451.62495,5.29300022125244
174,Costa Rica,CRI,51.7,12225.57449,7.0789999961853
175,Romania,ROU,64.0,10807.00917,5.82499980926514
176,Turkey,TUR,58.6,10589.66772,5.5
177,Mauritius,MUS,63.2,10484.90583,5.62900018692017
178,Brazil,BRA,46.7,9928.643063,6.63500022888184
179,Kazakhstan,KAZ,72.5,9247.581331,5.81899976730347
180,Bulgaria,BGR,59.6,8334.081728,4.71400022506714
181,Dominican Republic,DOM,57.8,7609.353275,5.23000001907349
182,Gabon,GAB,62.0,7230.434912,4.46500015258789
183,Peru,PER,56.7,6710.507602,5.71500015258789
184,Thailand,THA,63.5,6593.818352,6.42399978637695
185,Colombia,COL,50.3,6376.706716,6.35699987411499
186,Serbia,SRB,63.8,6292.543629,5.39499998092651
187,Ecuador,ECU,55.3,6213.503127,6.00799989700317
188,Belarus,BLR,74.6,5761.74712,5.56899976730347
189,Paraguay,PRY,51.5,5678.869972,5.49300003051758
190,Albania,ALB,66.8,4531.020806,4.64400005340576
191,Georgia,GEO,62.1,4357.000936,4.28599977493286
192,Kosovo,XKX,71.0,4045.614209,5.27899980545044
193,Armenia,ARM,66.4,3914.527854,4.37599992752075
194,El Salvador,SLV,62.0,3910.255969,6.00299978256226
195,Indonesia,IDN,61.9,3837.578024,5.26200008392334
196,Moldova,MDA,74.1,3509.69345,5.83799982070923
197,Bolivia,BOL,55.4,3351.124344,5.82299995422363
198,Bhutan,BTN,62.6,3286.596744,5.01100015640259
199,Ukraine,UKR,74.0,2640.675677,4.09600019454956
200,Honduras,HND,50.6,2453.727115,5.18100023269653
201,Zimbabwe,ZWE,55.7,1335.665064,3.875
202,Myanmar,MMR,69.3,1257.803576,4.54500007629395
203,Lesotho,LSO,55.1,1102.94441,3.80800008773804
204,Tanzania,TZA,59.5,1004.906588,3.34899997711182
205,Somalia,SOM,63.2,309.0543803,5.15100002288818
206,Luxembourg,LUX,64.6,116597.2956,6.91
207,Switzerland,CHE,66.9,86429.50082,7.487
208,Norway,NOR,72.4,82267.80932,7.594
209,United States,USA,58.6,63064.41841,6.886
210,Denmark,DNK,71.8,61598.5367,7.555
211,Sweden,SWE,70.0,54589.06039,7.314
212,Netherlands,NLD,71.9,53018.62936,7.441
213,Austria,AUT,69.2,51453.14702,7.139
214,Finland,FIN,72.7,50013.2942,7.632
215,Belgium,BEL,72.8,47554.74631,6.927
216,United Arab Emirates,ARE,74.0,43839.32449,6.774
217,France,FRA,67.6,41526.41466,6.489
218,Malta,MLT,71.3,30672.29224,6.627
219,Spain,ESP,65.3,30374.52104,6.31
220,Cyprus,CYP,67.3,29089.47133,5.762
221,Slovenia,SVN,75.4,26103.16026,5.948
222,Portugal,PRT,66.5,23551.04829,5.41
223,Czech Republic,CZE,75.0,23419.73561,6.711
224,Estonia,EST,69.7,23159.39249,5.739
225,Greece,GRC,67.1,19765.99645,5.358
226,Lithuania,LTU,64.3,19166.81227,5.952
227,Uruguay,URY,60.3,18703.86029,6.379
228,Latvia,LVA,64.9,17849.5593,5.933
229,Hungary,HUN,70.4,16411.44111,5.62
230,Panama,PAN,50.8,15544.73352,6.43
231,Poland,POL,69.8,15468.40941,6.123
232,Croatia,HRV,70.3,15014.08502,5.321
233,Costa Rica,CRI,52.0,12468.57529,7.072
234,Romania,ROU,64.2,12398.98198,5.945
235,Argentina,ARG,58.7,11633.49801,6.388
236,Kazakhstan,KAZ,72.2,9812.626371,5.79
237,Mexico,MEX,54.6,9686.514244,6.488
238,Turkey,TUR,58.1,9453.196172,5.483
239,Bulgaria,BGR,58.7,9427.73043,4.933
240,Brazil,BRA,46.1,9151.445253,6.419
241,Dominican Republic,DOM,56.3,8050.644076,5.302
242,Thailand,THA,63.6,7296.879608,6.072
243,Peru,PER,57.6,6957.793411,5.663
244,Colombia,COL,49.6,6729.583332,6.26
245,Belarus,BLR,74.8,6330.075246,5.483
246,Ecuador,ECU,54.6,6295.934662,5.973
247,Paraguay,PRY,54.0,5782.78455,5.681
248,Georgia,GEO,63.6,4722.787783,4.34
249,Moldova,MDA,74.3,4230.363037,5.64
250,Armenia,ARM,65.6,4220.540321,4.321
251,Mongolia,MNG,67.3,4134.979372,5.125
252,El Salvador,SLV,61.4,4052.624775,6.167
253,Indonesia,IDN,62.2,3893.859578,5.093
254,Bolivia,BOL,57.4,3548.59078,5.752
255,Angola,AGO,48.7,3289.643995,3.795
256,Philippines,PHL,57.7,3252.110274,5.524
257,Ukraine,UKR,73.9,3096.817402,4.103
258,Vietnam,VNM,64.3,2566.447487,5.103
259,Honduras,HND,51.1,2510.322943,5.504
260,Nigeria,NGA,64.9,2027.778549,5.155
261,Pakistan,PAK,68.4,1482.213067,5.472
262,Sierra Leone,SLE,64.3,533.9915333,4.571
