,Country,Country Code,GINI,GDP,Happiness Score
41,Luxembourg,LUX,68.3,104278.391,6.871
11,Switzerland,CHE,67.0,83073.28008,7.509
50,Norway,NOR,71.5,70460.56053,7.498
33,Ireland,IRL,67.2,62993.7451,6.907
34,Iceland,ISL,72.8,61987.92636,7.501
68,United States,USA,58.9,58021.4005,7.104
18,Denmark,DNK,71.8,54663.99837,7.526
62,Sweden,SWE,70.4,51965.15715,7.291
49,Netherlands,NLD,71.8,46007.85292,7.339
3,Austria,AUT,69.2,45276.83144,7.119
23,Finland,FIN,72.9,43784.28396,7.413
10,Canada,CAN,67.3,42315.60371,7.404
17,Germany,DEU,68.1,42107.51727,6.994
4,Belgium,BEL,72.4,41984.10303,6.929
25,United Kingdom,GBR,65.2,41048.34966,6.725
35,Israel,ISR,61.0,37282.53056,7.267
24,France,FRA,68.1,37037.37419,6.478
36,Italy,ITA,64.8,30939.71425,5.977
21,Spain,ESP,64.2,26505.34322,6.361
45,Malta,MLT,70.9,25741.44606,6.488
15,Cyprus,CYP,67.1,24605.92083,5.546
61,Slovenia,SVN,75.2,21663.64341,5.768
54,Portugal,PRT,64.8,19978.40121,5.123
16,Czech Republic,CZE,74.6,18575.23203,6.596
22,Estonia,EST,68.8,18437.25282,5.517
28,Greece,GRC,65.0,17885.39281,5.033
67,Uruguay,URY,60.3,16715.63347,6.545
40,Lithuania,LTU,61.6,14998.12506,5.813
51,Panama,PAN,49.6,14343.98139,6.701
42,Latvia,LVA,65.7,14315.79289,5.56
31,Hungary,HUN,69.7,13090.50673,5.145
1,Argentina,ARG,58.0,12790.24247,6.65
53,Poland,POL,68.8,12447.43959,5.835
30,Croatia,HRV,69.1,12361.48383,5.488
14,Costa Rica,CRI,51.3,12011.22275,7.087
64,Turkey,TUR,58.1,10894.60338,5.389
56,Romania,ROU,65.6,9548.587403,5.528
44,Mexico,MEX,53.7,8744.515559,6.778
9,Brazil,BRA,46.7,8710.096774,6.952
12,China,CHN,61.5,8147.937705,5.245
37,Kazakhstan,KAZ,72.8,7714.841844,5.919
6,Bulgaria,BGR,59.4,7548.855007,4.217
19,Dominican Republic,DOM,54.3,7280.88361,5.155
46,Montenegro,MNE,61.5,7033.604899,5.161
52,Peru,PER,56.4,6204.996457,5.743
20,Ecuador,ECU,55.0,6060.092962,5.976
63,Thailand,THA,63.1,5993.305516,6.474
13,Colombia,COL,49.4,5870.777957,6.481
59,Serbia,SRB,61.2,5765.200762,5.177
55,Paraguay,PRY,52.1,5324.609068,5.538
7,Belarus,BLR,74.7,5022.626643,5.802
0,Albania,ALB,66.3,4124.055726,4.655
26,Georgia,GEO,63.4,4062.169888,4.252
39,Sri Lanka,LKA,60.7,3886.291502,4.415
58,El Salvador,SLV,60.0,3805.995686,6.068
70,Kosovo,XKX,73.3,3780.003689,5.401
47,Mongolia,MNG,67.7,3660.151944,4.907
2,Armenia,ARM,67.5,3591.828052,4.36
32,Indonesia,IDN,61.4,3562.816334,5.314
8,Bolivia,BOL,54.7,3076.656439,5.822
43,Moldova,MDA,73.7,2880.439281,5.897
29,Honduras,HND,50.2,2342.584904,4.871
69,Vietnam,VNM,64.7,2192.174482,5.061
66,Ukraine,UKR,75.0,2187.73051,4.324
27,Ghana,GHA,56.5,1913.473536,4.276
5,Bangladesh,BGD,67.6,1401.564635,4.643
57,Rwanda,RWA,56.3,744.7607488,3.515
65,Uganda,UGA,57.2,733.3971317,3.739
38,Liberia,LBR,64.7,714.6233922,3.622
48,Malawi,MWI,55.3,315.7779871,4.156
