,Country,Country Code,GINI,GDP,Happiness Score
40,Luxembourg,LUX,67.1,101376.4966,6.946
11,Switzerland,CHE,67.7,84776.14217,7.587
48,Norway,NOR,72.5,74355.51586,7.522
34,Ireland,IRL,68.2,62000.11881,6.94
68,United States,USA,58.8,56863.3715,7.119
19,Denmark,DNK,71.8,53254.85637,7.527
35,Iceland,ISL,73.2,52951.68151,7.561
60,Sweden,SWE,70.8,51545.48361,7.364
47,Netherlands,NLD,71.8,45175.23189,7.378
27,United Kingdom,GBR,66.8,45039.23595,6.867
2,Austria,AUT,69.5,44178.04738,7.2
10,Canada,CAN,66.3,43596.13554,7.427
25,Finland,FIN,72.9,42784.69836,7.406
18,Germany,DEU,68.3,41086.72967,6.75
3,Belgium,BEL,72.3,40991.80814,6.937
26,France,FRA,67.3,36638.18493,6.575
36,Italy,ITA,64.6,30230.2263,5.948
22,Spain,ESP,63.8,25732.01836,6.329
43,Malta,MLT,70.6,24921.60368,6.302
16,Cyprus,CYP,66.0,23408.33668,5.689
59,Slovenia,SVN,74.6,20881.76693,5.848
54,Portugal,PRT,64.5,19242.36647,5.102
29,Greece,GRC,64.0,18050.09761,4.857
17,Czech Republic,CZE,74.1,17829.69832,6.505
23,Estonia,EST,67.3,17522.23019,5.429
67,Uruguay,URY,59.9,15613.74597,6.485
39,Lithuania,LTU,62.6,14258.22933,5.833
41,Latvia,LVA,65.8,13774.60527,5.098
50,Panama,PAN,49.2,13630.32287,6.786
12,Chile,CHL,55.6,13574.16924,6.67
32,Hungary,HUN,69.6,12706.89121,4.8
53,Poland,POL,68.2,12578.49547,5.791
31,Croatia,HRV,68.9,11781.73479,5.759
15,Costa Rica,CRI,51.6,11642.77805,7.226
65,Turkey,TUR,57.1,11006.27952,5.332
37,Kazakhstan,KAZ,73.2,10510.77189,5.855
46,Malaysia,MYS,58.9,9955.242722,5.77
56,Romania,ROU,64.1,8969.148921,5.124
8,Brazil,BRA,48.1,8814.001418,6.983
13,China,CHN,61.4,8066.942635,5.14
5,Bulgaria,BGR,61.4,7055.935673,4.218
20,Dominican Republic,DOM,54.8,6921.520594,4.885
9,Botswana,BWA,46.7,6799.870178,4.332
45,Montenegro,MNE,61.0,6517.163752,5.192
51,Peru,PER,56.6,6229.100674,5.824
14,Colombia,COL,49.0,6175.87603,6.477
21,Ecuador,ECU,54.0,6124.490887,5.975
6,Belarus,BLR,74.4,5949.106307,5.813
62,Thailand,THA,64.0,5840.053067,6.455
58,Serbia,SRB,59.5,5588.980728,5.123
55,Paraguay,PRY,52.4,5413.776021,5.878
28,Georgia,GEO,63.5,4014.185944,4.297
0,Albania,ALB,67.1,3952.801215,4.959
64,Tunisia,TUN,67.2,3861.6924,4.739
57,El Salvador,SLV,59.4,3705.579704,6.13
1,Armenia,ARM,67.6,3607.289299,4.35
69,Kosovo,XKX,73.5,3603.025501,5.589
33,Indonesia,IDN,60.3,3331.695115,5.399
7,Bolivia,BOL,53.3,3035.971655,5.89
52,Philippines,PHL,55.4,3001.043182,5.073
42,Moldova,MDA,73.0,2732.457113,5.889
30,Honduras,HND,50.8,2302.204411,4.788
66,Ukraine,UKR,74.5,2124.662319,4.681
49,Pakistan,PAK,67.4,1356.667831,5.194
70,Zambia,ZMB,42.9,1338.290927,5.129
38,Kenya,KEN,59.2,1336.883265,4.419
44,Myanmar,MMR,61.9,1144.474341,4.307
4,Benin,BEN,52.2,1076.796702,3.34
63,Tajikistan,TJK,66.0,978.4049812,4.786
24,Ethiopia,ETH,65.0,640.5419231,4.512
61,Togo,TGO,56.9,570.9099672,2.839
