Country Name,GDP
Tuvalu,3197.772252
Tanzania,947.9333517
Uganda,843.6295453
Ukraine,2124.662319
Upper middle income,8173.055438
Uruguay,15613.74597
United States,56863.3715
Uzbekistan,2615.025134
St. Vincent and the Grenadines,6921.702479
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),34796.49436
Vietnam,2085.101349
Vanuatu,2695.666186
World,10251.09905
Samoa,4073.729164
Kosovo,3603.025501
"Yemen, Rep.",1601.830063
South Africa,5734.633422
Zambia,1338.290927
Zimbabwe,1445.069702
